transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
2,3,3120,21-05-2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,03-03-2014
5,78,787,01-10-2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1765.3,$709.48,10-08-2015
6,25,2339,08-03-2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,10-11-2006
7,22,1542,21-04-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,60.34,$45.26,15-07-1993
10,12,3262,30-08-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,$161.60,17-08-2004
12,61,2783,05-01-2017,TRUE,Approved,OHM Cycles,Standard,low,medium,71.16,$56.93,17-06-2015
13,35,1243,26-02-2017,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,$154.40,12-07-1994
19,54,2268,06-04-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1292.84,$13.44,12-04-2009
20,25,3002,28-01-2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,22-03-2002
22,37,595,29-06-2017,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,20-07-1999
23,37,2001,08-04-2017,TRUE,Approved,OHM Cycles,Standard,low,medium,1793.43,$248.82,21-05-2015
27,64,2666,11-04-2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,1469.44,$596.55,18-05-2012
29,72,3368,13-10-2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,$270.30,06-12-2016
31,88,2810,05-09-2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,1198.46,$381.10,10-10-2002
34,99,2003,28-02-2017,TRUE,Approved,Trek Bicycles,Road,low,small,1720.7,"$1,531.42",01-10-2006
40,0,2448,28-11-2017,TRUE,Approved,Norco Bicycles,Road,medium,medium,544.05,$376.84,22-10-2005
41,44,2570,08-05-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,16-02-2003
45,55,2787,07-06-2017,TRUE,Approved,Trek Bicycles,Road,medium,large,1894.19,$598.76,17-06-2015
47,35,475,07-05-2017,TRUE,Approved,Trek Bicycles,Standard,low,medium,1057.51,$154.40,12-07-1994
48,81,1305,10-06-2017,TRUE,Approved,Solex,Standard,medium,medium,1151.96,$649.49,10-04-2012
53,6,3455,21-12-2017,TRUE,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,07-11-1991
54,27,2549,09-02-2017,TRUE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,12-07-1994
57,94,2294,30-08-2017,TRUE,Approved,Giant Bicycles,Standard,medium,large,1635.3,$993.66,09-06-2013
59,93,993,15-02-2017,TRUE,Approved,OHM Cycles,Standard,high,medium,1458.17,$874.90,02-02-2006
62,33,1824,18-12-2017,TRUE,Approved,Giant Bicycles,Standard,medium,small,1311.44,"$1,167.18",11-10-1992
65,28,825,16-05-2017,TRUE,Approved,Norco Bicycles,Standard,medium,small,1216.14,"$1,082.36",22-11-2016
66,86,3315,23-02-2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,26-07-1999
67,2,75,03-07-2017,TRUE,Approved,Solex,Standard,medium,medium,71.49,$53.62,02-12-2012
68,4,1498,30-09-2017,TRUE,Approved,Giant Bicycles,Standard,high,medium,1129.13,$677.48,28-09-2004
69,38,1612,21-10-2017,TRUE,Approved,Trek Bicycles,Standard,medium,large,2091.47,$388.92,15-09-2012
70,27,2192,06-05-2017,TRUE,Approved,Trek Bicycles,Standard,medium,medium,499.53,$388.72,23-06-1999
72,77,3307,09-05-2017,TRUE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,09-05-2011
74,56,1506,21-01-2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,183.86,$137.90,04-10-1997
79,87,102,12-09-2017,TRUE,Approved,Giant Bicycles,Standard,high,medium,1179,$707.40,25-08-1997
81,84,759,07-10-2017,TRUE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,02-10-1992
82,21,773,27-04-2017,TRUE,Approved,Solex,Standard,medium,large,1071.23,$380.74,07-05-2011
83,0,3398,01-04-2017,TRUE,Approved,OHM Cycles,Standard,medium,medium,235.63,$125.07,05-01-2003
